Nazwisko aktualne,Liczba
ŚLEDŹ,3780
JANCZAK,3779
LIPIEC,3772
OLECH,3771
RYBKA,3763
ROMAŃSKA,3761
WOJTOWICZ,3761
SZKUDLAREK,3760
GĄSIOREK,3758
PERKOWSKA,3751
KAPUŚCIŃSKA,3749
BILIŃSKA,3748
SKONIECZNA,3747
DUTKIEWICZ,3746
DYMEK,3746
GŁADYSZ,3746
SZYMANEK,3746
RACZKOWSKA,3742
WASIELEWSKA,3742
FLAK,3734
RADZISZEWSKA,3732
STASZAK,3732
BARTOSZEK,3730
AMBROZIAK,3723
KURZAWA,3723
PUCHAŁA,3713
MAZIARZ,3711
WYRZYKOWSKA,3711
POTOCKA,3707
PISAREK,3706
KONARSKA,3705
SZCZUREK,3705
MAJKOWSKA,3703
BUGAJSKA,3699
RESZKA,3698
ADAMCZEWSKA,3697
WAJDA,3690
KAŹMIERSKA,3688
DZIKOWSKA,3685
PIECH,3682
KOKOT,3677
SMOLEŃ,3676
KAROLAK,3672
SUCHECKA,3672
KUPIEC,3671
ROMANIUK,3666
KULPA,3661
CZARNOTA,3660
ROKICKA,3658
PĘKALA,3651
KALIŃSKA,3648
WRZOSEK,3646
KĘPKA,3643
PLICHTA,3638
BANASZAK,3637
KAWALEC,3628
SOLECKA,3625
BIAŁECKA,3624
KOCHAŃSKA,3620
STOKŁOSA,3620
FIGURA,3619
JASKULSKA,3617
SZYMANOWSKA,3609
DZIURA,3607
KOKOSZKA,3607
OLSZAK,3606
DOLATA,3604
RODAK,3602
PIECHOCKA,3588
PIERZCHAŁA,3587
BUGAJ,3584
GOLIŃSKA,3584
FERENC,3563
PASEK,3553
BALICKA,3551
KRAUZE,3550
BRZESKA,3549
PARADOWSKA,3549
SUŁKOWSKA,3549
PŁATEK,3548
ZBOROWSKA,3547
MĄCZKA,3545
WASZKIEWICZ,3543
BRODOWSKA,3533
WOJTASZEK,3532
JAROSZEWSKA,3529
BARSZCZ,3527
BOJARSKA,3522
KOLASIŃSKA,3522
OSOWSKA,3522
BIAŁA,3518
DOLIŃSKA,3516
STĘPNIEWSKA,3511
GÓRALCZYK,3508
SZCZYGIELSKA,3504
BIELA,3499
LASEK,3499
GABRYŚ,3492
ŚWIERCZEK,3484
WIELGUS,3483
WEBER,3482
CHROBAK,3474
KEMPA,3471
CICHOSZ,3469
SMOLAREK,3465
PISZCZEK,3464
KOSTKA,3460
MORAWIEC,3460
SZYMANIAK,3460
ŁAWNICZAK,3456
